id,birth date,job type,school level,domestic status,profession,domestic relationship type,ethnicity,gender,earned dividends,interest earned,monthly work,country of origin,target
15463,1983-12-26,private,secondary,single,mechanic,never married,afro american,Female,0,0,160,u.s.,1
2202,1962-12-31,private,college graduate,spouse passed,secretarial,never married,white and privileged,Female,0,0,160,u.s.,1
29145,1979-12-27,private,college graduate,married 2,C-level,has husband,white and privileged,Female,0,0,200,u.s.,0
11330,1965-12-30,private,entry level college,married 2,sales,has husband,white and privileged,Female,0,0,208,canada,0
20822,1967-12-30,self-emp-inc,entry level college,divorce pending,C-level,never married,white and privileged,Female,0,0,300,u.s.,1
12218,1996-12-22,unknown,entry level college,single,unknown,living with child,white and privileged,Female,0,0,140,u.s.,1
17810,1974-12-28,private,secondary-5 through 6,d,estate employee,never married,white and privileged,Female,0,0,160,mexico,1
14036,1981-12-26,local-gov,secondary,married 2,secretarial,has husband,white and privileged,Female,0,0,160,u.s.,0
13802,1993-12-23,private,10th,d,household labor,never married,white and privileged,Female,0,0,232,u.s.,1
20264,1974-12-28,private,entry level college,d,secretarial,never married,white and privileged,Female,0,0,160,u.s.,1
19781,1966-12-30,private,secondary,single,secretarial,not living with family,afro american,Female,0,0,160,u.s.,1
32247,1973-12-28,federal-gov,college graduate,spouse passed,C-level,never married,white and privileged,Female,0,0,160,u.s.,0
2435,1973-12-28,local-gov,entry level college,single,other,never married,afro american,Female,0,0,160,u.s.,1
9061,1994-12-23,private,secondary,single,secretarial,living with child,white and privileged,Female,0,0,160,u.s.,1
536,1960-12-31,private,primary 1 through 4,spouse passed,estate employee,not living with family,afro american,Female,0,0,120,u.s.,1
20698,1984-12-25,private,college graduate,single,other,not living with family,asian,Female,0,0,140,thailand,1
7304,1994-12-23,private,college graduate,married 2,specialist technician,has husband,white and privileged,Female,0,0,160,u.s.,1
23866,1989-12-24,private,secondary 11,married not together,other,never married,white and privileged,Female,0,0,140,u.s.,1
26963,1967-12-30,private,basic vocational,married 2,specialist technician,has husband,white and privileged,Female,0,1887,144,u.s.,0
27882,1976-12-27,private,entry level college,d,secretarial,living with child,afro american,Female,0,0,160,u.s.,1
283,1958-01-01,private,college graduate,d,specialist technician,not living with family,white and privileged,Female,0,0,168,u.s.,1
15581,1989-12-24,private,college graduate,married 2,C-level,has husband,white and privileged,Female,0,0,160,u.s.,0
6296,1995-12-23,private,secondary,single,specialist technician,not living with family,white and privileged,Female,0,0,160,u.s.,1
27847,1981-12-26,private,secondary,single,sales,living with child,white and privileged,Female,0,0,160,u.s.,1
7262,1986-12-25,private,secondary,single,sales,not living with family,white and privileged,Female,0,0,160,u.s.,1
12502,1979-12-27,federal-gov,entry level college,d,C-level,not living with family,afro american,Female,0,0,160,u.s.,1
13563,1964-12-30,private,entry level college,d,secretarial,not living with family,white and privileged,Female,0,0,136,u.s.,1
11136,1971-12-29,self-emp-not-inc,secondary,married 2,C-level,has husband,white and privileged,Female,0,0,200,u.s.,1
19723,1990-12-24,private,entry level college,single,C-level,not living with family,white and privileged,Female,0,0,160,u.s.,1
15464,1995-12-23,unknown,secondary 11,divorce pending,unknown,never married,afro american,Female,0,0,160,u.s.,1
24377,1996-12-22,private,secondary,single,sales,not living with family,white and privileged,Female,0,0,160,u.s.,1
29008,1976-12-27,private,some post graduate,d,C-level,never married,afro american,Female,0,0,240,u.s.,0
3310,1981-12-26,private,entry level college,single,sales,not living with family,white and privileged,Female,0,0,140,u.s.,1
5441,1971-12-29,private,secondary-5 through 6,married 2,vocational,has husband,white and privileged,Female,0,0,180,italy,1
32417,1997-12-22,private,entry level college,single,sales,not living with family,white and privileged,Female,0,0,224,u.s.,1
19145,1991-12-24,private,entry level college,single,sales,not living with family,white and privileged,Female,0,0,160,u.s.,1
11368,1995-12-23,private,secondary,single,other,living with child,white and privileged,Female,0,0,160,u.s.,1
18799,1994-12-23,private,entry level college,single,sales,living with child,white and privileged,Female,0,0,80,u.s.,1
3351,1987-12-25,unknown,entry level college,single,unknown,not living with family,white and privileged,Female,0,1719,100,u.s.,1
2136,1957-01-01,private,entry level college,single,estate employee,not living with family,white and privileged,Female,0,0,160,u.s.,1
29210,1993-12-23,private,advanced vocational,single,sales,living with child,white and privileged,Female,0,0,148,u.s.,1
21317,1970-12-29,private,secondary,d,secretarial,not living with family,white and privileged,Female,0,0,152,u.s.,1
31168,1990-12-24,private,secondary,married 2,sales,has husband,white and privileged,Female,0,0,200,u.s.,1
21774,1995-12-23,state-gov,entry level college,single,secretarial,never married,afro american,Female,0,0,160,u.s.,1
25017,1952-01-03,private,entry level college,d,secretarial,not living with family,white and privileged,Female,0,0,80,u.s.,1
23703,1979-12-27,private,college graduate,d,C-level,not living with family,white and privileged,Female,0,0,220,u.s.,1
8528,1954-01-02,private,entry level college,single,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
1919,1982-12-26,private,college graduate,single,secretarial,not living with family,white and privileged,Female,0,0,160,u.s.,1
599,1968-12-29,private,college graduate,single,specialist technician,not living with family,white and privileged,Female,0,0,180,u.s.,1
19469,1979-12-27,private,secondary,d,other,not living with family,white and privileged,Female,0,0,100,u.s.,1
1478,2000-12-21,private,secondary 11,single,secretarial,living with child,asian,Female,0,0,96,u.s.,1
10117,1997-12-22,unknown,secondary 11,married 2,unknown,living with extende family,white and privileged,Female,0,0,156,u.s.,1
5354,1968-12-29,private,college graduate,d,C-level,never married,afro american,Female,0,0,160,u.s.,1
10345,1989-12-24,private,primary 1 through 4,single,mechanic,not living with family,white and privileged,Female,0,0,160,mexico,1
23443,1975-12-28,local-gov,secondary-7 through 8,married not together,other,not living with family,white and privileged,Female,0,0,140,puerto rico,1
30177,1995-12-23,private,secondary,single,sales,not living with family,white and privileged,Female,0,0,100,u.s.,1
23053,1961-12-31,self-emp-not-inc,entry level college,d,other,not living with family,white and privileged,Female,0,0,160,u.s.,1
18113,1973-12-28,private,college graduate,single,secretarial,not living with family,white and privileged,Female,0,1617,80,u.s.,1
9477,1998-12-22,unknown,entry level college,single,unknown,living with child,white and privileged,Female,0,0,160,u.s.,1
4609,1980-12-26,local-gov,secondary,married 2,other,has husband,white and privileged,Female,0,0,100,u.s.,1
22784,1987-12-25,private,secondary,d,secretarial,never married,afro american,Female,0,0,248,u.s.,1
24871,1990-12-24,local-gov,college graduate,single,trucking,not living with family,white and privileged,Female,0,0,160,u.s.,1
18282,1978-12-27,state-gov,secondary,married 2,secretarial,has husband,white and privileged,Female,0,0,160,u.s.,1
